1hP I Einstieg und Arbeitsumgebung	19/08/2026
1hP I Arbeitsumgebung Jupyter Notebooks	26/08/2026
1hP I Problemlösung: Flaggen zeichnen I	02/09/2026
1hP I Problemlösung: Flaggen zeichnen II	09/09/2026
1hP I Variabeln in Python I	16/09/2026
1hP I Variabeln in Python II	23/09/2026
1hP I Wiederholungen: For-Loops	21/10/2026
1hP I For-Loops: Anwendungsübung	28/10/2026
1hP I Programmverzweigungen	04/11/2026
1hP I Einfache Funktionen und Prüfungsvorbereitung	11/11/2026
1hP I Prüfung 1: Python-Grundlagen	18/11/2026
1hP I Datenstrukturen: Listen I	25/11/2026
1hP I Datenstrukturen: Listen II	02/12/2026
1hP I Datenstrukturen: Listen III	09/12/2026
1hP I Datenstrukturen: Dictionary	16/12/2026
1hP I Beurteilung von Algorithmen	06/01/2027
1hP I Prüfungsvorbereitung 2	13/01/2027
1hP I Prüfung 2: Listen, Dictionaries, Sortieralgorithmen	20/01/2027
1hP I Divide and Conquer: Rekursion	27/01/2027
1hP I Rekursion II und Semesterabschluss	03/02/2027
